,tune,dataset
4272,14689_innes_campbell,train
4273,14690_tap_the_barrel,train
4274,14691_miss_marion_macdonalds,validation
4275,14692_chloes_trick,train
4276,14693_willie_kennedy,train
4277,14694_angus_allan__dan_js,train
4278,14695_gin_i_had_a_bonny_lass,test
4279,14696_karens_delight,validation
4280,14697_the_book_of_kells,train
4281,14698_the_return_of_the_eagle,validation
4282,14699_absinthe,validation
4283,146_the_humours_of_winter,train
4284,14700_ca_the_stirks_frae_oot_the_corn,train
4285,14701_hiya_pal,train
4286,14702_tangasdale_beach,train
4287,14703_freds_advice,validation
4288,14704_lament_for_the_dead_of_the_north,train
4289,14706_a_mabou,validation
4290,14707_black_rock,validation
4291,14708_miss_cassidys,validation
4292,14709_my_silly_wisp_of_a_minister,train
4293,14710_the_farmers_daughter,train
4294,14711_highland_kitty,train
4295,14712_the_scutchers,train
4296,14713_steren,test
4297,14714_ballimacelligott,train
4298,14715_the_magistrate,validation
4299,14716_reedy_creek,train
4300,14718_kiss_the_bride,train
4301,14719_the_horizon,train
4302,14720_rattlin_and_rollin,train
4303,14722_gan_ainm,train
4304,14723_argyll,train
4305,14724_claras_vale,validation
4306,14725_reign_of_love,test
4307,14726_bok_espok,validation
4308,14727_mrs,validation
4309,14728_the_weasel_in_the_dyke,train
4310,14729_lady_down,train
4311,14730_the_castleconnell_lasses,test
4312,14731_la_paella_grande,train
4313,14732_goddesses,validation
4314,14734_jump_like_a_rabbit,validation
4315,14735_3_am_in_edradour,train
4316,14736_the_blackbird_-_joe_derrane,train
4317,14737_the_first_train_to_kyle,train
4318,14738_lament_for_henry_chapin,train
4319,14739_the_raven_on_the_rock,validation
4320,14741_paddy_carter,train
4321,14742_running_the_cross,train
4322,14744_elav_the_terrible,train
4323,14745_ralphs_2-3-5,test
4324,14746_electric_chopsticks,train
4325,14747_the_wet_weather,train
4326,14748_hunting_the_buffalo,train
4327,14749_samuel_the_weaver,train
4328,14750_doctor_taylor,train
4329,14751_getting_there,train
4330,14752_the_fiddlers,validation
4331,14753_ernies_tune,validation
4332,14754_sonnys_delight,validation
4333,14755_the_rocky_river,test
4334,14759_nounounes,train
4335,14760_terrys_travels,validation
4336,14761_the_trip_to_norway,train
4337,14762_the_hills_of_kaitoke,train
4338,14763_willie_murrays,validation
4339,14764_an_eala_bhn,train
4340,14765_hillswick_wedding,test
4341,14766_rose_cottage,train
4342,14767_the_usual_suspects,train
4343,14769_mad_practicing,train
4344,14770_tailgating_the_minister,validation
4345,14771_the_second_wedding,train
4346,14772_iains,train
4347,14773_the_mermaids_song,train
4348,14774_gairsay,train
4349,14775_on_the_lam,validation
4350,14776_the_bell_rock,train
4351,14777_la_belle-mre_enrage,validation
4352,14778_the_waves_at_dingle,train
4353,14779_just_let_me_fly_my_drone,validation
4354,14780_hugh_smiths_farewell,train
4355,14781_gracelands,train
4356,14782_the_elevator,train
4357,14783_fort_of_the_daft_woman,test
4358,14785_dark_loanin,train
4359,14786_the_church_of_dromore,train
4360,14787_glencoe_hall,train
4361,14788_rocks_of_targil,train
4362,14789_father_francis_camerons,test
4363,14790_all_the_rage,test
4364,14791_quarries,validation
4365,14792_in_memory_of_herbie_macleod,train
4366,14793_camhanaich_air_machair,test
4367,14794_lady_homes,train
4368,14795_miss_sally_hunter_of_thurston,test
4369,14796_the_duke_of_gordons_favourite,test
4370,14797_the_bell,train
4371,14798_leaving_port_askaig,train
4372,14799_laxo_burn,train
4373,147_the_three_sea_captains,test
4374,14800_casseys,train
4375,14801_the_erchless_scout,test
4376,14802_fergusons_rant,train
4377,14803_the_humours_of_listivain,train
4378,14804_mykines_valsurin,train
4379,14805_kittys_bonnet,train
4380,14806_irish_morshaw,train
4381,14807_tadies_wattle,train
4382,14808_ril_abergwaun,train
4383,14809_the_rope_dance,validation
4384,14810_crossing_warness,train
4385,14811_the_fittie_boatman,train
4386,14812_mcfarlans_delight,train
4387,14813_baltioura,train
4388,14814_down_with_the_peebles,train
4389,14815_sheela_na_gigg,train
4390,14816_youghal,train
4391,14817_rakes_of_kilkenny,test
4392,14818_a_dog_called_bran,train
4393,14819_peerie_willie,train
4394,14820_leaving_stage_harbor,train
4395,14821_jacksons_turret,train
4396,14822_olives_for_the_king,test
4397,14823_coleg_y_brifysgol_abertawe,train
4398,14824_the_black_velvet_band,train
4399,14825_rue_des_dunes,train
4400,14826_years_turning,train
4401,14827_mabou,train
4402,14828_hoffedd_arglwyddes_y_fenni,test
4403,14829_miss_kellys,train
4404,14830_hugh_smiths,train
4405,14831_dic_sion_dafydd,train
4406,14832_mympwy_llwyd,train
4407,14833_carraign_ruadh,validation
4408,14834_le_step__kenneth_murphy,train
4409,14835_reel_de_valcourt,train
4410,14836_iain_macphails_welcome_to_shetland,train
4411,14837_reel_du_colporteur,train
4412,14838_tn_alarch,train
4413,14840_the_listmaker,train
4414,14841_gleann_na_mbeanna,train
4415,14842_the_aloe_vera,train
4416,14843_william_whites,train
4417,14844_peggy_of_darby,validation
4418,14845_the_messenger,train
4419,14846_miss_carmichaels,test
4420,14847_miss_douglas,validation
4421,14848_leave_my_way,train
4422,14849_the_new_mailcoach,train
4423,14850_the_new_stove,train
4424,14851_spin-n-glo,validation
4425,14852_the_green_branch,train
4426,14854_beamishs_goat,train
4427,14855_a_cloudy_morning,train
4428,14856_thompsons,train
4429,14857_wedding,train
4430,14859_the_old_grey_gander,train
4431,14860_kinrara,train
4432,14861_the_fraser_arms,train
4433,14862_the_first_of_march,train
4434,14864_the_boys_of_cappoquin,validation
4435,14865_jerry_hayes,train
4436,14866_the_belfast_lasses,train
4437,14867_the_sligo_lasses,train
4438,14868_mcfaddens_mishap,validation
4439,14869_the_pipers_picnic,train
4440,14870_the_ness_pipers,validation
4441,14871_i_know_what_you_like,train
4442,14872_castle_donovan,train
4443,14873_the_pipers_weird,train
4444,14874_john_pottingers_compliments_to_the_late_ronnie_cooper,train
4445,14875_daniel_orourke,train
4446,14876_the_blazing_turf_fire,train
4447,14877_the_humours_of_whiskey,train
4448,14878_an_ataireachd_ard,validation
4449,14879_john_whites_mother,train
4450,14880_you_and_i,test
4451,14882_waltz_of_the_grey_river,train
4452,14883_pennan_den,train
4453,14884_the_grumbling_rustic,train
4454,14885_blackeyed_biddie,test
4455,14886_the_crooked_way_to_dublin,test
4456,14887_barley_lake,test
4457,14888_tom_is_gone_to_the_fair,train
4458,14889_old_jerry_doyle,train
4459,14890_lord_macpherson_of_drumochter,train
4460,14891_connollys,train
4461,14892_harlequin_air,train
4462,14893_flamin_hen_factory,train
4463,14894_the_humours_of_ballinaraheen,validation
4464,14895_walking_the_dog,train
4465,14896_the_derby_hunt,train
4466,14897_the_tunes_foundry,test
4467,14898_lift_me,train
4468,14899_round_wagtail,train
4469,148_dever_the_dancer,train
4470,14900_a_chicken_wrap,train
4471,14902_welcome_home_from_newfoundland,train
4472,14903_a_tribute_to_michael_tubridy,train
4473,14904_sarah,train
4474,14905_the_eire_sign,validation
4475,14907_the_killarney_whistle,train
4476,14908_the_humours_of_currageen,train
4477,14909_frogs_frollic,train
4478,14910_asleep_at_the_wheel,test
4479,14911_gan_ainm,train
4480,14912_courtneys,train
4481,14913_shanes_bminor,train
4482,14914_for_vanessa,test
4483,14915_the_wait,train
4484,14916_cuimhne_an_phobaire,train
4485,14917_hard_to_get_started,test
4486,14918_lady_of_the_hollow,train
4487,14919_mrs,train
4488,14920_cals,train
4489,14921_siobhans_special_day,train
4490,14922_when_jessie_calls_over,train
4491,14923_skip_out_of_school,validation
4492,14924_ceann_dubh_dileas,train
4493,14925_saorlas,train
4494,14926_or_are_we_dancers,validation
4495,14927_seisin_indeed_in_doolin,train
4496,14928_orlas_intent,train
4497,14930_sir_wilfrid_lauriers,train
4498,14931_the_jigs_up,train
4499,14932_ill_gang_nae_mair_to_yon_toun,train
4500,14933_the_wearied_lad,validation
4501,14934_the_night_of_the_fun,validation
4502,14935_the_dairy_maid,test
4503,14937_the_dairy_maid,test
4504,14938_the_hurling_boys,train
4505,14939_the_humours_of_maam,test
4506,14940_airlie_bobbies,train
4507,14941_hope_valley,train
4508,14942_whall_dance_wi_wattie,train
4509,14943_craic_at_clashmore_hall,validation
4510,14944_sir_wilfred_laurier_marche,train
4511,14945_sir_wilfred_laurier,test
4512,14946_maireads_paradise,train
4513,14947_free_of_c__f,train
4514,14948_carnival,train
4515,14951_struan_and_frazers,train
4516,14952_the_answer_i_got,train
4517,14953_teelin_bay,train
4518,14954_the_basket_of_oysters,validation
4519,14955_a_boy_from_home,validation
4520,14956_darling_dan,train
4521,14957_pilgrim_sunrise,train
4522,14958_sweet_rain,train
4523,14959_dolly_dimple,train
4524,14960_the_factory_lass,validation
4525,14961_the_female_hero,validation
4526,14962_ganivelle,validation
4527,14963_sally_sloanes_barn_dance,train
4528,14964_frisky_fanny,train
4529,14965_gilla_machree,validation
4530,14966_hibernian_dance,test
4531,14967_mrs,train
4532,14968_the_applesauce_quickstep,train
4533,14969_the_irish_hop_pickers,validation
4534,14970_jack_oneills_fancy,train
4535,14971_my_love_is_on_the_ocean,train
4536,14972_the_bantry,train
4537,14973_reel_for_anna,train
4538,14974_up,train
4539,14975_memories_of_dougald_macintyre,validation
4540,14976_the_silver_tip,train
4541,14977_my_honey_in_the_house,validation
4542,14978_my_love_is_in_the_house,train
4543,14979_mistral,validation
4544,14980_mclaughlins,train
4545,14981_siobhan_beatons_favourite,train
4546,14982_robert_cormack_of_aberdeen,train
4547,14983_the_mountain_ash,train
4548,14984_hildas_choice,train
4549,14985_ceud_mile_failte,validation
4550,14987_ny_giv,test
4551,14988_the_ardaneen,train
4552,14989_joe_banes_schottische,test
4553,14990_y_daith_i_gonwy,train
4554,14991_little_judique,train
4555,14992_little_judique,train
4556,14995_slicing_the_toast,train
4557,14996_the_bloody_fields_of_flanders,train
4558,14997_needle_case,train
4559,14998_am_i_in_logan_love_,validation
4560,14999_folding_down_the_sheets,train
4561,149_murphys,validation
4562,14_the_cuil_aodha,test
4563,15000_reed_makers,train
4564,15001_the_black_bear,train
4565,15002_robbin_powers_fancy,validation
4566,15003_jack_in_the_garret,test
4567,15004_push_about_the_jugg,train
4568,15005_da_sixereen,train
4569,15006_the_meteor,train
4570,15007_alexander_the_great,validation
4571,15009_miss_dumbreck,train
4572,15010_the_spaniard,train
4573,15011_the_london,validation
4574,15012_george_washingtons_favourite_cotillion,validation
4575,15013_sabelina,validation
4576,15015_success_to_the_fleet,train
4577,15016_the_hill_of_the_cranes,train
4578,15017_pasacorredoiras_de_ponteareas,train
4579,15018_twas_in_the_month_of_january,train
4580,15019_incontinental_stomp,train
4581,15020_a_bright_may_morning,train
4582,15021_craad_tou_goll_my_caillin_veg_dhone,test
4583,15022_dooinney_seyr_vayns_exeter,train
4584,15023_dan_lenos_boat,validation
4585,15024_if_and_when_i_find_myself,validation
4586,15025_the_leeds,train
4587,15026_rochester_schottische,validation
4588,15027_rochester_schottische,train
4589,15028_whistling_rufus,train
4590,15029_garden_where_the_praties_grow,train
4591,15030_gankino,train
4592,15031_ding_dong_merrily_on_high,train
4593,15032_skyline,validation
4594,15034_leilas_birthday,train
4595,15035_betty_likens,train
4596,15036_christmas_time_will_soon_be_over,train
4597,15037_moloneys_favourite,validation
4598,15038_dudley_drive,test
4599,15039_bourre_les_moutons,train
4600,15040_rozsa,train
4601,15041_the_rake,train
4602,15042_the_black_rose,train
4603,15043_the_flood_on_the_holm,train
4604,15044_dr_mcphails,train
4605,15045_you_never_saw_her_equal,train
4606,15046_prayer_for_tears,train
4607,15047_the_new_yorker,train
4608,15048_the_avalon_quickstep,train
4609,15049_curlicue,train
4610,15050_dot_the_dragons_eyes,train
4611,15051_colored_aristocracy,train
4612,15052_mrs_stewart_of_grandtully,train
4613,15053_stories_to_tell,test
4614,15054_crocus,train
4615,15055_cider_street,validation
4616,15056_the_hills_of_perth,train
4617,15057_skirmish,test
4618,15058_gan_ainm,train
4619,15059_creignish_hills,train
4620,15060_colonel_hopkins,train
4621,15061_the_e-b-e,train
4622,15062_jim_tweedies_sea_legs,validation
4623,15063_balkin_balkan,train
4624,15064_the_land_o_the_leal,validation
4625,15065_ceridwen__martins_nusa_lembongan_wedding,train
4626,15066_the_cobblers_hornpipe,validation
4627,15067_a_hapenny_for_a_cotton_ball,test
4628,15068_breaking_up_christmas,test
4629,15070_airchie_brown,train
4630,15071_hiccup_free_day,train
4631,15072_yellow_rose_of_texas,train
4632,15073_schottische_de_penhoet,validation
4633,15074_flanagan_meets_ohanlon,validation
4634,15075_tom_duffs,train
4635,15076_mackenzies,train
4636,15077_black_whiskey_hill,test
4637,15078_muieria_de_freixido,train
4638,15079_lullaby_for_mel,train
4639,15080_sleigh_ride,train
4640,15082_gunna,train
4641,15083_anthem_of_the_former_kingdom_of_galicia,train
4642,15085_keeping_up_with_calum,train
4643,15086_green_lands,validation
4644,15087_alala_de_baralla,train
4645,15088_the_bacon_allocation,train
4646,15089_well_may_charlie_wear_the_crown,train
4647,15090_willie_winkie,test
4648,15091_the_pigot,test
4649,15094_the_festival_of_tears,train
4650,15099_alborada_de_santiago,train
4651,150_paddy_faheys,train
4652,15100_the_boston_hop,train
4653,15101_the_elfin,train
4654,15102_new_years_day,test
4655,15103_kilts_on_fire,train
4656,15104_oor_pal_davy,test
4657,15105_johnny_has_gone_to_france,test
4658,15106_my_hearts_in_new_south_wales,validation
4659,15107_casey_the_whistler,test
4660,15108_the_dominion,train
4661,15109_narry_the_piper,train
4662,15110_roger_macmun,validation
4663,15111_tuhys_frolics,validation
4664,15112_mullins_favourite,train
4665,15113_paddy_handlys_goose,train
4666,15114_flaming_oflanigans,validation
4667,15115_parnell_and_ireland,test
4668,15116_land_league,train
4669,15117_carrickmacross,train
4670,15118_never_grow_old,train
4671,15119_jacksons_welcome_home,train
4672,15120_colonel_macleods,train
4673,15121_weary_weve_been,train
4674,15122_belfast_ham,train
4675,15123_the_wild_ducks_flight,train
4676,15125_blaze_away,train
4677,15126_the_camembert,validation
4678,15127_auchmountains_bonnie_glen,train
4679,15128_bucks_of_tipperary,train
4680,15129_jota_popular,validation
4681,15130_the_rumours_of_a_dart,test
4682,15131_young_dans,train
4683,15132_an_tstal,train
4684,15133_foliada_de_campelo,test
4685,15134_hartmanns_fancy,train
4686,15135_dave_murphys,validation
4687,15137_oay_mckessons_pastime,train
4688,15138_dave_macneils,validation
4689,15139_forest_lodge,train
4690,15140_from_shetland_to_orkney,train
4691,15141_the_mad_buckgoat,train
4692,15142_the_beggar,train
4693,15143_leaving_glen_affric,test
4694,15144_the_magic_fiddle,validation
4695,15145_salty_boys,test
4696,15146_around_the_house_and_mind_the_dresser,train
4697,15147_the_low_tide_at_merrymans,validation
4698,15148_the_curse_of_the_molcolbhin_line,train
4699,15149_maureens,train
4700,15150_the_high_winds,train
4701,15151_the_last_day_of_january,validation
4702,15154_mouloufs,validation
4703,15155_irish_wristwatch,train
4704,15156_miss_isabella_robertsons,train
4705,15157_an_sln_na_haoibh,test
4706,15158_robin_tamsons_smiddy,validation
4707,15160_marcha_das_burgas,train
4708,15161_john_cass_90th_birthday,validation
4709,15162_daniel_pearl_dedication_tune,train
4710,15163_summer_time,validation
4711,15164_marcha_procesional_de_san_benito,train
4712,15165_the_good_alibi,train
4713,15166_cat_on_a_leash,test
4714,15167_neil_r,validation
4715,15168_danny,train
4716,15169_mila,train
4717,15170_gustavo,test
4718,15171_printemps_en_hiver,train
4719,15172_the_white_winged_diver,train
4720,15173_orest_and_lauras,train
4721,15174_maa_and_the_wolf,validation
4722,15175_big_sciote,train
4723,15176_waltz_for_nobody,train
4724,15177_paddy_kelly,train
4725,15178_sarah,train
4726,15179_the_amazon,train
4727,15180_general_longstreets,train
4728,15181_mrs,train
4729,15182_miss_stewarts,train
4730,15183_hermans_hostel,test
4731,15184_kapunda_rifle_schottische,train
4732,15185_the_ballydesmond,test
4733,15186_robin_kellegher,validation
4734,15187_the_cove_of_cork,train
4735,15188_hummingbird_i_thought_i_saw_a,validation
4736,15189_alys_soond,train
4737,15190_mr_and_mrs_maclean_of_snaigow,train
4738,15191_rambling_jock,test
4739,15192_fis_frolics,validation
4740,15193_aisling_an_igfhir,train
4741,15194_joshua_james_ballad_of_a_tiny_man,train
4742,15195_carronside,test
4743,15196_rousay,train
4744,15197_the_hills_of_lorne,train
4745,15198_painters_polka,train
4746,15199_the_staffordshire_highland_gathering,validation
4747,151_the_tar_road_to_sligo,train
4748,15200_mac_an_irish,train
4749,15201_viva_la_quinta_brigada,test
4750,15202_the_beara_minstrel,train
4751,15203_aoifes,train
4752,15204_rascal_on_the_haystack,validation
4753,15206_dark_as_a_dungeon,test
4754,15207_esthers,train
4755,15208_martin_oconnors,train
4756,15210_mr._martins_complements_to_dr,train
4757,15211_gan_ainm,train
4758,15212_the_new_brig_of_methlick,train
4759,15213_freak_st_callback,train
4760,15214_calums,test
4761,15216_inspector_smith_of_dumfries,train
4762,15217_sac_dy_check,train
4763,15218_sir_ulick_burke,validation
4764,15219_pikes_peak,test
4765,15220_meriweather,train
4766,15221_prayer_of_long_resolve,train
4767,15222_oshaughnessys,test
4768,15224_the_three_men_of_brittany,validation
4769,15225_the_golden_vanity,train
4770,15226_a_trip_to_bavaria,train
4771,15227_ferintosh,validation
4772,15228_kenmay_house,validation
4773,15229_emmas_tune,train
4774,15230_lamplighter,train
4775,15231_calum_figheadair,test
4776,15232_tsizik_polkka,train
4777,15233_staffordshire_highland_gathering,train
4778,15234_jurby_coast_road,train
4779,15235_ross,test
4780,15236_the_wolf_in_the_butter,validation
4781,15237_creggyn,train
4782,15238_zig_zag,train
4783,15239_emerald_isle,train
4784,15242_hommage_till_en_spelman,train
4785,15243_is_it_a_jig_yet,train
4786,15244_marias,train
4787,15245_our_ship_did_sail,test
4788,15246_as_i_went_out_one_morning_clear,train
4789,15247_vrlkda,train
4790,15248_ec_kiare_bleeaney_jeig_dy_eash,train
4791,15249_o_ven_aeg_ven_aalin_aeg,train
4792,15250_myr_hooyl_mee_magh_moghrey_laa_boaldyn,train
4793,15251_the_patchwork_polka,train
4794,15252_johnny_when_you_die,train
4795,15253_the_lock_keepers_cottage,train
4796,15254_the_popcorn,train
4797,15255_little_jenny,train
4798,15256_the_post_office,train
4799,15257_the_steel,train
4800,15258_isabeaux_sy_promene,train
4801,15259_danns_bar,test
4802,15260_juniper,train
4803,15261_the_mother-in-law,validation
4804,15262_the_rivals,train
4805,15263_an_dro,train
4806,15264_the_shooting_star,train
4807,15266_goblachan,test
4808,15267_kriden_fair,train
4809,15268_kilkenny_station,validation
4810,15269_miss_patricia_meagher,train
4811,15270_more_rum_for_the_piper,train
4812,15271_hurricane_bob,validation
4813,15272_louis_cyr,test
4814,15273_polka_tapas,test
4815,15274_la_belle_isa,train
4816,15275_reel__gilbert,validation
4817,15276_the_holm_burn,validation
4818,15277_the_black_pearl,validation
4819,15278_the_fox_in_the_thatch,train
4820,15279_soldiers_of_france,train
4821,15280_les_trois_princesses,train
4822,15281_home_in_a_box,train
4823,15282_eleanor_nearys,validation
4824,15283_x,train
4825,15284_jans,train
4826,15285_the_good_ship_sirius,validation
4827,15286_home_in_a_box,train
4828,15288_the_black_cat,train
4829,15289_marthas,train
4830,15290_marthas,test
4831,15291_the_lonely_maid,train
4832,15292_the_pavee,train
4833,15294_panis,test
4834,15295_the_sail-makers_wife,train
4835,15296_waltz_one,train
4836,15297_orlaghs,train
4837,15298_the_fretless_flute_song,test
4838,15299_compliments_to_mary_janet,train
4839,152_cleaning_the_hen_house,validation
4840,15300_magnus_hendrichsons,train
4841,15301_astryds,train
4842,15302_mr_welchs_favourite,train
4843,15305_brisk_bob,validation
4844,15306_soldiers_return,validation
4845,15307_celtic_societys_quickstep,test
4846,15308_logan_water,train
4847,15310_come_up_alang,train
4848,15311_port_dreoilin_an_daingin,train
4849,15312_ode_to_joy,test
4850,15313_the_stripe,validation
4851,15314_the_humours_of_ardara,train
4852,15315_seamus_o_kanes,train
4853,15316_meghans,validation
4854,15317_dohertys,train
4855,15318_the_silvermines,validation
4856,15320_j.o._forbes_esq,train
4857,15321_munstermans_rambles,test
4858,15322_the_lowthers,validation
4859,15324_ryans_fancy,validation
4860,15325_bens_birthday,train
4861,15326_s_ann_an_le,train
4862,15327_mouse_in_the_house,train
4863,15328_the_comet,train
4864,15329_the_flying_statue,validation
4865,15331_a_pilgrim_journey,test
4866,15332_ali_bobo,train
4867,15333_captain_menzies,train
4868,15334_na_caill_a_chaileag_laghach,train
4869,15335_serena_notte,train
4870,15336_wilfred_prospers,validation
4871,15338_wellington_square,train
4872,15339_lozs_garden,test
4873,15340_dalaigh,test
4874,15341_up_the_pond,train
4875,15342_the_arrival_of_the_queen_of_sheba,validation
4876,15343_sweet_molly_malone,train
4877,15344_an_cailin_rua,train
4878,15345_through_the_wood_laddie,train
4879,15346_the_mighty_pickle,train
4880,15348_i_rowed_up_in_a_dory,validation
4881,15350_horlepiep,train
4882,15351_berries_in_the_night,train
4883,15352_du_fel_y_glo,validation
4884,15353_the_first_trout,train
4885,15354_don_juan_mckennas,test
4886,15355_melting,train
4887,15358_bunessan,train
4888,15359_polka_drine,test
4889,15360_rays_wheel,train
4890,15361_forest-in-teesdale,train
4891,15362_och_is_duine_truagh_mi,train
4892,15363_bea_maes,validation
4893,15366_the_falls_of_altnarie,validation
4894,15367_wedding,train
4895,15368_john_howats,train
4896,15369_the_wagtail,train
4897,15370_mr_porter,validation
4898,15371_mike_flanagans,test
4899,15372_the_undertow,validation
4900,15373_the_angry_man,train
4901,15374_falls_of_richmond,validation
4902,15375_the_merry_merchant,train
4903,15376_bacon_and_potatoes,test
4904,15377_the_worried_man,validation
4905,15378_the_delphi_air,train
4906,15379_the_crazy_mexican_dude,train
4907,15380_the_silhouette,train
4908,15381_the_piano_box,test
4909,15382_the_devil_and_his_damn,test
4910,15383_emmet_the_piper,validation
4911,15384_happy_again,train
4912,15385_the_great_barrier,train
4913,15386_lost_boys,train
4914,15387_masurkka_ullan,test
4915,15388_john_kellys_favourite,train
4916,15389_further_along_the_line,train
4917,15390_saileog_annie,test
4918,15391_the_high_road_to_cork,train
4919,15392_the_ladies_from_hell,train
4920,15393_the_bodhran_makers,train
4921,15394_mac_suibhn,train
4922,15395_jackie_dalys,train
4923,15397_mr_lanes_maggot,train
4924,15398_luke_skywalker_walks_on_sunshine,train
4925,15399_the_glenshane_pass,train
4926,153_sweet_biddy_of_ballyvourney,validation
4927,15400_biddy_mcghee,test
4928,15401_first_song,train
4929,15402_hetty_ohady,test
4930,15403_the_polished_turd,train
4931,15404_donalds_rant,train
4932,15405_b_fherr_mar_a_bha_mi_n_uiridh,test
4933,15406_the_munster_rake,train
4934,15408_strathlorne_march,train
4935,15409_shadow_dance,train
4936,15410_42nd_highlanders_farewell,test
4937,15411_the_pigeons_tail,train
4938,15412_tom_billys_favourite,train
4939,15413_corona_air,test
4940,15414_the_spirit_of_the_house,test
4941,15415_naughty_noochie,train
4942,15416_old_rocking_chair,validation
4943,15417_the_tartan_quilt,train
4944,15418_dirge_of_mull,train
4945,15419_the_happy_couple,train
4946,15420_nancys_party,train
4947,15421_ginantonic,train
4948,15423_waves_of_tramore,test
4949,15424_hollow_hills,test
4950,15425_boys_of_carrickroe,train
4951,15427_the_black_rose_of_beara,train
4952,15428_my_sunny_valentine,train
4953,15430_violon_guerisseur,train
4954,15431_valse_pour_alice,train
4955,15432_belle_bergre,train
4956,15433_pipe_major_joe_wilson,train
4957,15434_strictly_sambuca,train
4958,15435_the_ardgroom,train
4959,15437_billy_caples,train
4960,15438_bonnie_aboyne,train
4961,15439_choulis,train
4962,15440_bobs_tune,train
4963,15442_the_lookout_pack,validation
4964,15443_the_buzzard,test
4965,15444_liosas_funky,train
4966,15445_fiddlers_green,train
4967,15446_the_wandering_road,train
4968,15447_king_williams,train
4969,15448_watermoon,train
4970,15449_the_brexit,train
4971,15450_down_the_green_fields,validation
4972,15451_a_dissolution_march_for_island_britain,train
4973,15452_la_bocquereuse,train
4974,15453_last_of_the_litter,train
4975,15454_chinquapin_hunting,validation
4976,15455_johnnie_sullivans,train
4977,15456_blow_my_chanter,validation
4978,15457_paddy_taylors,validation
4979,15458_68_des_rapides,train
4980,15459_doogary_crannog,test
4981,15460_the_abbey_ceili_band,validation
4982,15462_straid_na_cathrach,train
4983,15463_niel_gows_style,train
4984,15464_alec_menzies,test
4985,15465_robbie_dagenais,validation
4986,15466_syd_and_netties,validation
4987,15467_friends,train
4988,15468_mr_christopher_moss_his_lament_upon_the_passage_of_time,train
4989,15469_wheres_the_light,train
4990,15470_eleanor__antonios,train
4991,15471_the_wind_swept_hill_of_tulla,validation
4992,15472_jamie_hardie,train
4993,15473_aweebit_twisty,train
4994,15474_trip_to_ashbourne,validation
4995,15475_shaun_daveys,validation
4996,15476_t_mo_chleamhnas__dhanamh,train
4997,15477_veeras,train
4998,15478_for_the_young,train
4999,15479_emilys_welcome_to_portland,train
5000,15480_the_visiting_kittens,train
5001,15481_the_beach,train
5002,15482_the_wind_waker,train
5003,15483_in_the_deep_hearts_core,train
5004,15484_dn_beag,train
5005,15486_varsovienne,train
5006,15487_gan_ainm,test
5007,15489_ravens,validation
5008,15490_la_valse_matique,train
5009,15491_kinnaird_house,train
5010,15492_winter_morning,train
5011,15493_hollywood,train
5012,15495_bens_brogues,train
5013,15496_two_castles,train
5014,15498_rainy_night_under_the_bridge,train
5015,154_quinns,train
5016,15500_james_f,test
5017,15501_al_letanant_schnitt_o_kimiadin_ar_5ved_kompagnunez,train
5018,15503_ri_rings,test
5019,15504_reel_drouin,train
5020,15505_an_cor_bealaigh,train
5021,15506_absent_friends,train
5022,15507_larry_reynolds_fancy,train
5023,15508_shebas,test
5024,15509_slievmans,train
5025,15510_reel_du_vtrinaire,train
5026,15511_the_red_mill,train
5027,15512_annalese_bain,test
5028,15513_sarahs_song,train
5029,15514_lough_key,train
5030,15515_bob_johnsons,validation
5031,15516_the_ranting_rake,validation
5032,15517_gigue_du_plateau,train
5033,15518_elevated,train
5034,15519_shetland_night_in_london,train
5035,15520_kermeskis,train
5036,15521_deliverance,train
5037,15522_danny_mcniffs,train
5038,15525_upper_valley,train
5039,15526_along_the_way,train
5040,15528_the_twining_branch,train
5041,15530_peter__flanagans,test
5042,15531_major_l_stewarts,train
5043,15532_flitter,train
5044,15533_laendler,train
5045,15534_hanny_christens,train
5046,15536_an_islay_pipe,test
5047,15537_rheinlaender,train
5048,15538_blue_angel,train
5049,15539_mr,validation
5050,15540_tobar_nan_ceann,train
5051,15541_loch_duich,test
5052,15542_the_snow_on_the_mountain,train
5053,15544_arriving_to_st,train
5054,15545_emiles_dream,train
5055,15546_up_the_southern_shore,validation
5056,15548_black_rock,validation
5057,15549_may_bn,train
5058,15550_brig_o_blair,train
5059,15551_dog_a_lorange,test
5060,15552_waltz_from_enviken,train
5061,15553_dancers_denial,train
5062,15554_mendiokerra,train
5063,15555_ballochyle,train
5064,15556_mrs._jane_kennedy_of_st,train
5065,15557_oscar_woods,train
5066,15558_johnny_learys,train
5067,15559_ophelia,train
5068,15560_phils_favourite,test
5069,15563_la_polverita_fiera,train
5070,15564_the_norwegian_gent,validation
5071,15565_trip_to_devon,validation
5072,15566_the_ritual,train
5073,15567_forest_baby,train
5074,15568_the_gift_of_falling,train
5075,15569_quick_and_merry,train
5076,15570_deoraiocht,validation
5077,15572_gretas_favourite,train
5078,15573_sandys_wedding,validation
5079,15574_her_scattered_gold,train
5080,15575_rory_dalls_sisters_lament,train
5081,15577_sleepless_in_syros,train
5082,15578_santorini_sunshine,train
5083,15579_the_flower_of_kristiansand,train
5084,15580_metcalfe_fair,validation
5085,15581_mrs,validation
5086,15582_the_derrykeighan_stone,train
5087,15583_teatime_with_seamus,validation
